name,energy (kcal/kJ),water (g),protein (g),total fat (g),carbohydrates (g),fiber (g),sugars (g),calcium (mg),iron (mg),magnessium (mg),phosphorus (mg),potassium (mg),sodium (g),vitamin A (IU),vitamin C (mg),vitamin B1 (mg),vitamin B2 (mg),viatmin B3 (mg),vitamin B5 (mg),vitamin B6 (mg),vitamin E (mg)
Apple nutrition facts,48/200,86.7,0.27,0.13,12.7,1.3,10.1,5,0.07,4,11,90,0,38,4,19,28,91,71,37,0.05
Apricot nutrition facts,48/201,86.4,1.4,0.39,11.12,2,9.24,13,0.39,10,23,259,1,1926,10,0.03,0.04,0.6,0.24,54,0.89
"Artichokes, cooked",53/220,84.08,2.89,0.34,11.95,8.6,0.99,21,0.61,42,73,286,60,13,7.4,0.05,89,1.11,0.24,81,0.19
"Asparagus, cooked",22/94,92.63,2.4,0.22,4.11,2,1.3,23,0.91,14,54,224,14,1006,7.7,162,139,1084,225,79,1.5
Avocado nutrition,160/670,73.23,2,14.7,8.53,6.7,0.66,12,0.55,29,52,485,7,146,10,67,0.13,1738,1389,257,2.07
Banana nutrition facts,89/371,74.91,1.09,0.33,22.84,2.6,12.23,5,0.26,27,22,358,1,64,8.7,31,73,665,334,367,0.1
"Beet greens, cooked",27/115,89.13,2.57,0.2,5.46,2.9,0.6,114,1.9,68,41,909,241,7654,24.9,117,289,499,329,132,1.81
"Beet greens, raw",22/92,91.2,2.2,0.13,3.7,4.33,0.5,117,2.57,70,41,762,226,6326,30,0.1,0.22,0.4,0.25,106,1.5
"Beetroots or beets, cooked",44/184,87.06,1.68,0.18,9.96,2,7.96,16,0.79,23,38,305,77,35,3.6,27,0.04,331,145,67,0.04
"Beetroots or beets, raw",43/180,87.58,1.61,0.71,9.56,2.8,6.76,16,0.8,23,40,325,78,33,4.9,31,0.04,334,155,67,0.04
Blackberries nutrition,43/181,88.15,1.39,0.49,9.61,5.3,4.88,29,0.62,20,22,162,1,214,21,0.02,26,646,276,0.03,1.17
Blueberry nutrition facts,57/240,84.21,0.74,0.33,14.49,2.4,9.96,6,0.28,6,12,77,1,54,9.7,37,41,418,124,52,0.57
"Broadbeans, cooked",100/460,71.54,7.6,0.4,19.65,5.4,1.82,36,1.5,43,125,268,5,15,0.3,97,89,711,157,72,0.02
"Broccoli raab or Broccoli rabe, cooked",33/136,91.41,3.83,0.52,3.12,2.8,0.62,118,1.27,27,82,343,56,4533,37,169,0.14,2015,448,0.22,2.53
"Broccoli raab or Broccoli rabe, raw",22/92,92.55,3.17,0.49,2.85,2.7,0.38,108,2.14,22,73,196,33,2622,20.2,162,129,1221,322,171,1.62
"Broccoli, cooked",35/146,89.25,2.38,0.41,7.18,3.3,1.39,40,0.67,21,67,293,41,1548,64.9,63,123,553,616,0.2,1.45
"Broccoli, raw",34/141,89.3,2.82,0.37,6.64,2.6,1.7,47,0.73,21,66,316,33,623,89.2,71,117,639,573,175,0.78
"Brussels Sprouts, cooked",36/150,88.9,2.55,0.5,7.1,2.6,1.74,36,1.2,20,56,317,21,775,62,107,0.08,607,252,178,0.43
