Id,Meal,Calories_meal,Proteins_meal,Carbohydrates_meal,Fats_meal,Fiber_meal,Sugar_meal,Calcium_meal,Vitamin C_meal
1503960366,breakfast,496.25,5.75,11.51,2.56,15,20,400,70.0
1503960366,lunch,694.75,6.9,9.2,3.07,,15,500,52.5
1503960366,snack,297.75,5.75,11.51,2.56,10,10,300,70.0
1503960366,dinner,496.25,5.75,11.51,2.56,15,10,350,70.0
1624580081,breakfast,358.0,6.49,12.98,2.88,15,20,400,44.8
1624580081,lunch,501.2,7.79,10.38,3.46,,15,500,33.6
1624580081,snack,214.8,6.49,12.98,2.88,10,10,300,44.8
1624580081,dinner,358.0,6.49,12.98,2.88,15,10,350,44.8
1644430081,breakfast,799.75,8.13,16.27,3.62,15,20,400,60.0
1644430081,lunch,1119.65,9.76,13.02,4.34,,15,500,45.0
1644430081,snack,479.85,8.13,16.27,3.62,10,10,300,60.0
1644430081,dinner,799.75,8.13,16.27,3.62,15,10,350,60.0
1844505072,breakfast,507.5,6.07,12.14,2.7,15,20,400,50.0
1844505072,lunch,710.5,7.29,9.71,3.24,,15,500,37.5
1844505072,snack,304.5,6.07,12.14,2.7,10,10,300,50.0
1844505072,dinner,507.5,6.07,12.14,2.7,15,10,350,50.0
1927972279,breakfast,555.0,8.34,16.69,3.71,15,20,400,40.0
1927972279,lunch,777.0,10.01,13.35,4.45,,15,500,30.0
1927972279,snack,333.0,8.34,16.69,3.71,10,10,300,40.0
1927972279,dinner,555.0,8.34,16.69,3.71,15,10,350,40.0
2022484408,breakfast,597.5,6.73,13.46,2.99,15,20,400,60.0
2022484408,lunch,836.5,8.08,10.77,3.59,,15,500,45.0
2022484408,snack,358.5,6.73,13.46,2.99,10,10,300,60.0
2022484408,dinner,597.5,6.73,13.46,2.99,15,10,350,60.0
2026352035,breakfast,364.75,4.62,9.25,2.06,15,20,400,40.0
2026352035,lunch,510.65,5.55,7.4,2.47,,15,500,30.0
2026352035,snack,218.85,4.62,9.25,2.06,10,10,300,40.0
2026352035,dinner,364.75,4.62,9.25,2.06,15,10,350,40.0
2320127002,breakfast,531.0,7.04,14.08,3.13,15,20,400,60.0
2320127002,lunch,743.4,8.45,11.27,3.76,,15,500,45.0
2320127002,snack,318.6,7.04,14.08,3.13,10,10,300,60.0
2320127002,dinner,531.0,7.04,14.08,3.13,15,10,350,60.0
2347167796,breakfast,586.0,9.13,18.26,4.06,15,20,400,64.8
2347167796,lunch,820.4,10.95,14.61,4.87,,15,500,48.6
2347167796,snack,351.6,9.13,18.26,4.06,10,10,300,64.8
2347167796,dinner,586.0,9.13,18.26,4.06,15,10,350,64.8
2873212765,breakfast,495.5,5.37,10.74,2.39,15,20,400,60.0
2873212765,lunch,693.7,6.45,8.6,2.87,,15,500,45.0
2873212765,snack,297.3,5.37,10.74,2.39,10,10,300,60.0
2873212765,dinner,495.5,5.37,10.74,2.39,15,10,350,60.0
3372868164,breakfast,447.0,5.79,11.58,2.57,15,20,400,50.0
3372868164,lunch,625.8,6.95,9.26,3.09,,15,500,37.5
3372868164,snack,268.2,5.79,11.58,2.57,10,10,300,50.0
3372868164,dinner,447.0,5.79,11.58,2.57,15,10,350,50.0
3977333714,breakfast,362.5,4.67,9.34,2.08,15,20,400,44.8
3977333714,lunch,507.5,5.6,7.47,2.49,,15,500,33.6
3977333714,snack,217.5,4.67,9.34,2.08,10,10,300,44.8
3977333714,dinner,362.5,4.67,9.34,2.08,15,10,350,44.8
4020332650,breakfast,913.5,8.09,16.19,3.6,15,20,400,60.0
4020332650,lunch,1278.9,9.71,12.95,4.32,,15,500,45.0
4020332650,snack,548.1,8.09,16.19,3.6,10,10,300,60.0
4020332650,dinner,913.5,8.09,16.19,3.6,15,10,350,60.0
4057192912,breakfast,571.5,6.29,12.57,2.79,15,20,400,40.0
4057192912,lunch,800.1,7.54,10.06,3.35,,15,500,30.0
4057192912,snack,342.9,6.29,12.57,2.79,10,10,300,40.0
4057192912,dinner,571.5,6.29,12.57,2.79,15,10,350,40.0
4319703577,breakfast,528.75,4.52,9.04,2.01,15,20,400,40.0
4319703577,lunch,740.25,5.42,7.23,2.41,,15,500,30.0
4319703577,snack,317.25,4.52,9.04,2.01,10,10,300,40.0
4319703577,dinner,528.75,4.52,9.04,2.01,15,10,350,40.0
4388161847,breakfast,738.75,5.17,10.34,2.3,15,20,400,40.0
4388161847,lunch,1034.25,6.2,8.27,2.76,,15,500,30.0
4388161847,snack,443.25,5.17,10.34,2.3,10,10,300,40.0
4388161847,dinner,738.75,5.17,10.34,2.3,15,10,350,40.0
4445114986,breakfast,528.25,5.21,10.42,2.32,15,20,400,40.0
4445114986,lunch,739.55,6.25,8.34,2.78,,15,500,30.0
4445114986,snack,316.95,5.21,10.42,2.32,10,10,300,40.0
4445114986,dinner,528.25,5.21,10.42,2.32,15,10,350,40.0
4558609924,breakfast,477.25,5.4,10.8,2.4,15,20,400,50.0
4558609924,lunch,668.15,6.48,8.64,2.88,,15,500,37.5
4558609924,snack,286.35,5.4,10.8,2.4,10,10,300,50.0
4558609924,dinner,477.25,5.4,10.8,2.4,15,10,350,50.0
4702921684,breakfast,736.75,6.16,12.32,2.74,15,20,400,55.2
4702921684,lunch,1031.45,7.39,9.85,3.28,,15,500,41.4
4702921684,snack,442.05,6.16,12.32,2.74,10,10,300,55.2
4702921684,dinner,736.75,6.16,12.32,2.74,15,10,350,55.2
5553957443,breakfast,506.5,8.49,16.98,3.77,15,20,400,60.0
5553957443,lunch,709.1,10.19,13.59,4.53,,15,500,45.0
5553957443,snack,303.9,8.49,16.98,3.77,10,10,300,60.0
5553957443,dinner,506.5,8.49,16.98,3.77,15,10,350,60.0
5577150313,breakfast,851.25,7.09,14.17,3.15,15,20,400,50.0
5577150313,lunch,1191.75,8.5,11.34,3.78,,15,500,37.5
5577150313,snack,510.75,7.09,14.17,3.15,10,10,300,50.0
5577150313,dinner,851.25,7.09,14.17,3.15,15,10,350,50.0
6117666160,breakfast,374.0,5.99,11.98,2.66,15,20,400,40.0
6117666160,lunch,523.6,7.19,9.58,3.19,,15,500,30.0
6117666160,snack,224.4,5.99,11.98,2.66,10,10,300,40.0
6117666160,dinner,374.0,5.99,11.98,2.66,15,10,350,40.0
6290855005,breakfast,640.0,6.07,12.15,2.7,15,20,400,40.0
6290855005,lunch,896.0,7.29,9.72,3.24,,15,500,30.0
6290855005,snack,384.0,6.07,12.15,2.7,10,10,300,40.0
6290855005,dinner,640.0,6.07,12.15,2.7,15,10,350,40.0
6775888955,breakfast,460.25,6.84,13.69,3.04,15,20,400,40.0
6775888955,lunch,644.35,8.21,10.95,3.65,,15,500,30.0
6775888955,snack,276.15,6.84,13.69,3.04,10,10,300,40.0
6775888955,dinner,460.25,6.84,13.69,3.04,15,10,350,40.0
6962181067,breakfast,498.5,5.8,11.61,2.58,15,20,400,60.0
6962181067,lunch,697.9,6.96,9.28,3.09,,15,500,45.0
6962181067,snack,299.1,5.8,11.61,2.58,10,10,300,60.0
6962181067,dinner,498.5,5.8,11.61,2.58,15,10,350,60.0
7007744171,breakfast,734.25,9.27,18.53,4.12,15,20,400,70.0
7007744171,lunch,1027.95,11.12,14.83,4.94,,15,500,52.5
7007744171,snack,440.55,9.27,18.53,4.12,10,10,300,70.0
7007744171,dinner,734.25,9.27,18.53,4.12,15,10,350,70.0
7086361926,breakfast,693.0,10.26,20.52,4.56,15,20,400,60.0
