name,Fiber,Vitamin C,Fats,Proteins,Calories,Sugar,Calcium,Carbohydrates,Category
Apple nutrition facts,1.3,4,1.17,1.08,48,10.1,5,50.8,vegetables
Apricot nutrition facts,2,10,3.51,5.6,48,9.24,13,44.48,vegetables
"Artichokes, cooked",8.6,7.4,3.06,11.56,53,0.99,21,47.8,vegetables
"Asparagus, cooked",2,7.7,1.98,9.6,22,1.3,23,16.44,vegetables
Avocado nutrition,6.7,10,132.3,8,160,0.66,12,34.12,vegetables
Banana nutrition facts,2.6,8.7,2.97,4.36,89,12.23,5,91.36,vegetables
"Beet greens, cooked",2.9,24.9,1.8,10.28,27,0.6,114,21.84,vegetables
"Beet greens, raw",4.33,30,1.17,8.8,22,0.5,117,14.8,vegetables
"Beetroots or beets, cooked",2,3.6,1.62,6.72,44,7.96,16,39.84,vegetables
"Beetroots or beets, raw",2.8,4.9,6.39,6.44,43,6.76,16,38.24,vegetables
Blackberries nutrition,5.3,21,4.41,5.56,43,4.88,29,38.44,vegetables
Blueberry nutrition facts,2.4,9.7,2.97,2.96,57,9.96,6,57.96,vegetables
"Broadbeans, cooked",5.4,0.3,3.6,30.4,100,1.82,36,78.6,vegetables
"Broccoli raab or Broccoli rabe, cooked",2.8,37,4.68,15.32,33,0.62,118,12.48,vegetables
"Broccoli raab or Broccoli rabe, raw",2.7,20.2,4.41,12.68,22,0.38,108,11.4,vegetables
"Broccoli, cooked",3.3,64.9,3.69,9.52,35,1.39,40,28.72,vegetables
"Broccoli, raw",2.6,89.2,3.33,11.28,34,1.7,47,26.56,vegetables
"Brussels Sprouts, cooked",2.6,62,4.5,10.2,36,1.74,36,28.4,vegetables
"Brussels Sprouts, raw",3.8,85,2.7,13.56,43,2.2,42,35.8,vegetables
"Cabbage, chinese or pak-choi, raw",1,45,1.8,6,13,1.18,105,8.72,vegetables
"Cabbage, common, cooked",1.9,37.5,0.54,5.08,23,2.79,48,22.04,vegetables
"Cabbage, common, raw",2.3,51,1.62,4.84,24,0,47,21.48,vegetables
"Cabbage, red, cooked",2.6,34.4,0.81,6.04,29,3.32,42,27.76,vegetables
"Cabbage, red, raw",2.1,57,1.44,5.76,31,3.83,45,29.48,vegetables
"Cabbage, savoy, cooked",2.8,17,0.81,7.2,24,0,30,21.64,vegetables
"Cabbage, savoy, raw",3.1,31,0.9,8,27,2.27,35,24.4,vegetables
Carambola or Starfruit,2.8,34.4,2.97,4.16,31,3.98,3,26.92,vegetables
"Carrots, cooked",3,3.6,1.62,3.04,35,3.45,30,32.88,vegetables
"Carrots, raw",2.8,5.9,2.16,3.72,41,4.74,33,38.32,vegetables
"Cauliflower, cooked",2.3,44.3,4.05,7.36,23,2.08,16,16.44,vegetables
"Cauliflower, raw",2,48.2,2.52,7.68,25,1.91,22,19.88,vegetables
"Celeriac, cooked",1.2,3.6,1.71,3.84,27,0,26,23.6,vegetables
"Celeriac, raw",1.8,8,2.7,6,42,1.6,43,360.8,vegetables
"Celery, cooked",1.6,6.1,1.44,3.32,18,2.37,42,16,vegetables
"Celery, raw",1.6,3.1,1.53,2.76,16,1.83,40,11.88,vegetables
"Chard, swiss, cooked",2.1,18,0.72,7.52,20,1.1,58,16.52,vegetables
"Chard, swiss, raw",1.6,3,1.8,7.2,19,1.1,51,14.96,vegetables
Cherimoya fruit nutrition,3,12.6,6.12,6.28,75,12.87,10,70.84,vegetables
Cherry fruit nutrition facts,2.1,7,1.8,4.24,63,12.82,13,64.04,vegetables
