name,Fiber,Sugar,Calcium,Vitamin C,Fats,Proteins,Calories,Carbohydrates,Category
Apple nutrition facts,1.3,10.1,5,4.0,1.17,1.08,48,50.8,vegetables
Apricot nutrition facts,2,9.24,13,10.0,3.5100000000000002,5.6,48,44.48,vegetables
"Artichokes, cooked",8.6,0.99,21,7.4,3.06,11.56,53,47.8,vegetables
"Asparagus, cooked",2,1.3,23,7.7,1.98,9.6,22,16.44,vegetables
Avocado nutrition,6.7,0.66,12,10.0,132.29999999999998,8.0,160,34.12,vegetables
Banana nutrition facts,2.6,12.23,5,8.7,2.97,4.36,89,91.36,vegetables
"Beet greens, cooked",2.9,0.6,114,24.9,1.8,10.28,27,21.84,vegetables
"Beet greens, raw",4.33,0.5,117,30.0,1.17,8.8,22,14.8,vegetables
"Beetroots or beets, cooked",2,7.96,16,3.6,1.6199999999999999,6.72,44,39.84,vegetables
"Beetroots or beets, raw",2.8,6.76,16,4.9,6.39,6.44,43,38.24,vegetables
Blackberries nutrition,5.3,4.88,29,21.0,4.41,5.56,43,38.44,vegetables
Blueberry nutrition facts,2.4,9.96,6,9.7,2.97,2.96,57,57.96,vegetables
"Broadbeans, cooked",5.4,1.82,36,0.3,3.6,30.4,100,78.6,vegetables
"Broccoli raab or Broccoli rabe, cooked",2.8,0.62,118,37.0,4.68,15.32,33,12.48,vegetables
"Broccoli raab or Broccoli rabe, raw",2.7,0.38,108,20.2,4.41,12.68,22,11.4,vegetables
"Broccoli, cooked",3.3,1.39,40,64.9,3.69,9.52,35,28.72,vegetables
"Broccoli, raw",2.6,1.7,47,89.2,3.33,11.28,34,26.56,vegetables
"Brussels Sprouts, cooked",2.6,1.74,36,62.0,4.5,10.2,36,28.4,vegetables
"Brussels Sprouts, raw",3.8,2.2,42,85.0,2.6999999999999997,13.56,43,35.8,vegetables
"Cabbage, chinese or pak-choi, raw",1,1.18,105,45.0,1.8,6.0,13,8.72,vegetables
"Cabbage, common, cooked",1.9,2.79,48,37.5,0.54,5.08,23,22.04,vegetables
"Cabbage, common, raw",2.3,-,47,51.0,1.6199999999999999,4.84,24,21.48,vegetables
"Cabbage, red, cooked",2.6,3.32,42,34.4,0.8099999999999999,6.04,29,27.76,vegetables
"Cabbage, red, raw",2.1,3.83,45,57.0,1.44,5.76,31,29.48,vegetables
"Cabbage, savoy, cooked",2.8,-,30,17.0,0.8099999999999999,7.2,24,21.64,vegetables
"Cabbage, savoy, raw",3.1,2.27,35,31.0,0.9,8.0,27,24.4,vegetables
Carambola or Starfruit,2.8,3.98,3,34.4,2.97,4.16,31,26.92,vegetables
"Carrots, cooked",3,3.45,30,3.6,1.6199999999999999,3.04,35,32.88,vegetables
"Carrots, raw",2.8,4.74,33,5.9,2.16,3.72,41,38.32,vegetables
"Cauliflower, cooked",2.3,2.08,16,44.3,4.05,7.36,23,16.44,vegetables
"Cauliflower, raw",2,1.91,22,48.2,2.5200000000000005,7.68,25,19.88,vegetables
"Celeriac, cooked",1.2,-,26,3.6,1.71,3.84,27,23.6,vegetables
"Celeriac, raw",1.8,1.6,43,8.0,2.6999999999999997,6.0,42,360.8,vegetables
"Celery, cooked",1.6,2.37,42,6.1,1.44,3.32,18,16.0,vegetables
"Celery, cooked",1.6,2.37,42,6.1,1.44,3.32,18,16.0,vegetables
"Celery, raw",1.6,1.83,40,3.1,1.53,2.76,16,11.88,vegetables
"Celery, raw",1.6,1.83,40,3.1,1.53,2.76,16,11.88,vegetables
"Chard, swiss, cooked",2.1,1.1,58,18.0,0.72,7.52,20,16.52,vegetables
"Chard, swiss, raw",1.6,1.1,51,3.0,1.8,7.2,19,14.96,vegetables
Cherimoya fruit nutrition,3,12.87,10,12.6,6.12,6.28,75,70.84,vegetables
Cherry fruit nutrition facts,2.1,12.82,13,7.0,1.8,4.24,63,64.04,vegetables
"Chickpeas, cooked",7.6,4.8,49,1.3,23.31,35.44,164,109.68,vegetables
Clementine,1.7,9.18,30,48.8,1.3499999999999999,3.4,47,48.08,vegetables
Cranberries,4.6,4.04,8,13.3,1.17,1.56,46,48.8,vegetables
"Cress, garden, cooked",0.7,3.11,61,23.0,5.3999999999999995,7.6,23,15.2,vegetables
"Cress, garden, raw",1.1,4.4,81,69.0,6.3,10.4,32,22.0,vegetables
"Cucumber, with peel, raw",0.5,1.67,16,2.8,0.99,2.6,15,14.52,vegetables
Currants Black,-,-,55,181.0,3.69,5.6,63,61.52,vegetables
"Currants, Red and White",4.3,7.37,33,41.0,1.8,5.6,56,55.2,vegetables
"Dandelion greens, cooked",2.9,0.5,140,18.0,5.3999999999999995,8.0,33,25.6,vegetables
"Dandelion greens, raw",3.5,0.71,187,35.0,6.3,10.8,45,36.8,vegetables
"Date nutrition: Dates, deglet noor",8,63.35,39,0.4,3.5100000000000002,9.8,282,300.12,vegetables
"Dates, medjool",6.7,66.47,64,0.0,1.3499999999999999,7.24,277,299.88,vegetables
Durian nutrition,3.8,-,6,19.7,47.97,5.88,147,108.36,vegetables
"Eggplant or Aubergine, cooked",2.5,3.2,6,1.3,2.0700000000000003,3.32,35,34.92,vegetables
"Eggplant or Aubergine, raw",3.4,2.35,9,2.2,1.71,4.04,24,22.8,vegetables
"Endive, raw",3.1,0.25,52,6.5,1.8,5.0,17,13.4,vegetables
"Fennel, raw",3.1,-,49,12.0,1.8,4.96,31,29.16,vegetables
"Fig nutrition: Figs, raw",2.9,16.26,35,2.0,2.6999999999999997,3.0,74,76.72,vegetables
"French beans, cooked",9.4,-,63,1.2,6.84,28.2,129,96.08,vegetables
"Garlic, raw",2.1,1,181,31.2,4.5,25.44,149,132.24,vegetables
"Ginger root, raw",2,1.7,16,5.0,6.75,7.28,80,71.08,vegetables
Gooseberries,4.3,-,25,27.7,5.22,3.52,44,40.72,vegetables
"Grape nutrition: Grapes, red or green",0.9,15.48,10,10.8,1.44,2.88,69,72.4,vegetables
"Grapefruit, pink and red",1.6,6.89,22,31.2,1.2600000000000002,3.08,42,42.64,vegetables
"Grapefruit, white",1.1,7.31,12,33.3,0.9,2.76,33,33.64,vegetables
Groundcherries or Cape Gooseberries,-,-,9,11.0,6.3,7.6,53,44.8,vegetables
Guava nutrition facts,5.4,8.92,18,228.3,8.549999999999999,10.2,68,57.28,vegetables
